45626	0.3017517100559227,0.09845422643284166,0.025090271049013294,-0.08949834769486796,0.13185969522799756,0.18374365472495477,0.0014638402910296224,-0.002920798099853977,0.04347911424948414,0.066479527470598,0.07568404204702683,0.03942362869546172,0.024295047338554643,0.084029875476019,0.05078068020790783,0.059369833157784074,0.05789345726030597,0.05933796069180421,0.07632612450841793,0.03411714742890113,0.09181827798545604,0.06060694053576957,0.04620790013816964,0.08964835800714181,0.041892701649985424,0.07614318702762093,0.06755156866420178,0.06473811286314451,0.0631433530448935,0.08161951167032967,0.05466285993928821,0.08063724384696122,0.06265442132085353,0.06888242816640729,0.07589419051141942,0.0553059242761689,0.09139208449822452,0.04587854587998007,0.09747440892112087,0.04571551715154526,0.09645053559728801,0.048909036010672605,0.09021266419707191,0.06090532585666914,0.07797333852791312,0.07266153456294316,0.0742812612630205,0.07015116676452814,0.08429415307775574,0.05666118723637737,
50248	0.4162918150141658,0.1110559429970247,0.04008544268786401,0.006201245914739441,0.06272883925295435,0.10497674765811396,0.059580593045959584,0.07762442559031849,0.04715961538532021,0.07821144182959776,0.0704960113710464,0.0676343369533771,0.06717641461869257,0.07481691267615237,0.07362415646764182,0.06612472108106839,0.07213907230305606,0.07841507856428288,0.06038691528113164,0.08591736463296931,0.060160355288098606,0.07975513491055498,0.06688962450598947,0.0792103225631455,0.06848015318594096,0.07944958030656744,0.0731878526140379,0.07660075449065926,0.07763815710297971,0.07381196510784661,0.0808702540921513,0.07309638423787741,0.08198634311237005,0.07496373635546456,0.08134960695188852,0.07827590261476973,0.07928627269482784,0.08158095672749839,0.07852024885389569,0.0814466131247282,0.08143288186859796,0.07934734786702574,0.08511348745532747,0.07836005618434132,0.0860285870240536,0.08024318815791139,0.08444271249422401,0.08283560695696156,0.08353923060002308,0.08426429338140715,
54480	0.5955361386865154,-0.004539000086206681,-0.03096990198466049,0.36482794451894407,0.07505687435361355,-0.1513072018510351,0.2586882120977033,0.05952917684847855,0.08960752267113833,0.15105505964921292,0.1325002480562333,-0.017586766587420408,0.0460222282809012,0.30422239627735514,-0.17108300448652786,0.2364014192372781,0.17092650463242354,-0.0903068264433909,0.18220813215700266,0.2848610768068376,-0.25213770324423485,0.2643158658288412,0.09976802217000846,-0.07386531025298478,0.32406053958508124,-0.10653166197373165,0.1385934417141888,0.09874279698947351,0.0635520990894778,0.08789409603590476,0.12784663719745618,0.03467461564115707,0.16005917961294894,0.021467133036864972,0.17585050252101528,0.002291496562739847,0.18263886645401955,0.015147089184544825,0.14187050181906657,0.06625681200788026,0.09426596598317681,0.11256909840087503,0.059898505831811534,0.13119017198017152,0.06098462349717356,0.11436172477710725,0.08449919334986017,0.09465871168425585,0.09994339273497248,0.0823402159799001,
54703	0.5813229807003436,0.037130478989197406,-0.4930103628933157,-0.19864456132403946,0.14326177388714662,0.22700781190580754,-0.05641757169240923,0.10048760450166076,0.036530462282840105,-0.0333856733924796,-0.0448383687520221,0.19139995707707028,0.03337029914489272,0.06932560082611387,-0.014456734717634832,0.17171029481808212,0.012715508709441176,0.1483026501931728,-0.06681223254812621,0.30160384990752026,-0.11049231723686923,0.17310240418324566,0.10770108765314305,0.019935897654147494,0.19780613330687716,-0.021531856368970197,0.1520550738020026,0.023242527437077075,0.14043979512884933,0.037295011511465234,0.11839676837810248,0.09458887500874053,0.05298649619306367,0.16808295576869603,-0.017159450503435765,0.2135669410767604,-0.021143328880923754,0.16240206764453163,0.07179627152342861,0.07040710226419714,0.1504634130050161,0.02148820064295198,0.16729836495218553,0.047030059279667365,0.11133676564399451,0.11006511213604758,0.06002477248647729,0.1384075552435501,0.058111198628768145,0.12086818632644891,
56094	0.5348500744096955,0.23126705043290305,-0.09311298605037455,0.10456912386157322,0.20824228605811537,0.11679664189397676,0.10371780777141412,0.07506908794439925,0.1770122690796387,0.12318093275288011,0.035958499182917485,0.1867090372549588,0.05705122436134348,0.14369587676079876,0.09321376435918209,0.14638150702276023,0.07484051566881968,0.14605017714293547,0.11154105116947903,0.08013063101732049,0.1504274365995619,0.09973980718086722,0.107434388236245,0.11331724524490099,0.12314260975654025,0.0800331101912693,0.14495359153878892,0.07957030781157472,0.12661482558935233,0.10385215740962904,0.10266475050630093,0.12061438982896142,0.09353054433440096,0.12457750093710072,0.09077823134727202,0.12352611164930571,0.09481553140324019,0.11343922034688778,0.1057290095472964,0.10302387133305706,0.11182632277971981,0.09916244068841798,0.11198842673287558,0.10030024638222222,0.10820098050403773,0.10299915609869406,0.10536543079265212,0.10346011121026602,0.10530770339019635,0.10166301346511435,
57288	0.6138148244816612,0.008676877354011275,-0.0307195421049685,0.024812926153849942,0.12435715225647104,0.01353150563982814,0.14543316560221317,0.014299997829167126,0.18301169963951136,0.025221410448966437,0.08615039037721751,0.0914598014141251,0.05440520635767249,0.06023518165868661,0.06674710510718176,0.11057261742527107,0.009448898077656002,0.14400167701882044,0.04150062964236921,0.06609857864664521,0.10540421158376204,0.0744552718575474,0.058647970034324155,0.10616811772427522,0.06591570832618433,0.07138309649656933,0.10916716696159319,0.04282837161191021,0.11703121009374291,0.04930823214464416,0.11047816858497497,0.06154964227550583,0.1090881600033629,0.06082768067992555,0.11836837320682103,0.054699547935833676,0.12112929296793089,0.06456331685115678,0.10654113206947707,0.07855297546802052,0.10033562707420868,0.07914029918118705,0.10514651852411165,0.07572235267545019,0.10562137394519783,0.08154666522281344,0.09782132866201182,0.09009237280630981,0.09347773777520096,0.09166783259654127,
60094	0.3830405545685823,-0.04280207977515809,-0.06331844092000241,0.007446810297793705,-0.08957146831470104,0.11056649331944483,0.09027379642711768,0.03407179516023028,0.05175478160420583,0.04515178816863357,0.06275433926149401,0.011980944458383443,0.06387527127550435,0.0326409294992488,0.04860698787961538,0.04161021314634728,0.05741563719455771,0.03720708378588612,0.06261282596264367,0.05551700338956214,0.041777370970427316,0.0665344732052809,0.04370491080970912,0.06774833598031509,0.048847988187028436,0.05842344688846507,0.07101296579069051,0.0401150842413066,0.08084567703900916,0.046175069484806965,0.06751890400687063,0.06478369106069143,0.05882261156640094,0.07046375829563814,0.06103442140811599,0.06828282328956004,0.0670487931508102,0.06514461083815794,0.06997551204876126,0.06973163116428165,0.06635827541234056,0.07819127737243815,0.06182972874629329,0.08222051785917642,0.0640391380106252,0.07888322161770593,0.07111571390791886,0.07472725602094824,0.07662541965617989,0.07274105266326156,
60147	0.7400019785328409,0.1541308465060254,0.030390778519944876,0.23336856629175123,-0.08794326812061375,0.10021300392171326,0.249063251506424,0.08321458221026133,0.1582428664592653,0.054867414561309516,0.1317055844859171,0.19376698262813352,0.03718117296242692,0.1749363944202843,0.13578119245383277,0.09320399634108442,0.1685611755849569,0.08331095607851906,0.12556770190409555,0.14737096635293415,0.06999158492491084,0.1434774583111268,0.09451387193433732,0.14185535893586804,0.07288565046743774,0.1609421650303161,0.0757222648945279,0.11749309999225037,0.13381992309752097,0.06825725469564085,0.15398433137713283,0.07118877076899693,0.13684824372595392,0.08819375228098597,0.12349739225621846,0.09375591444000196,0.1226924682643228,0.08707970342438065,0.1333879031909296,0.07127160902612627,0.1527435925336557,0.05324963310675858,0.1663842214722552,0.05689183701793865,0.14778403179657487,0.08521799425047098,0.11704580013528271,0.10600947727156328,0.1044903022753229,0.10816601488558325,
73992	0.5258778105331143,0.09199077788963259,-0.07642785831377336,0.23037701909883113,0.04501246025972915,0.18598457290774204,0.0010686580831904123,0.10810119402310044,0.09355701375213582,0.11477069850484047,0.03671646571469675,0.1326697427981326,0.016923336330942007,0.13105974077819055,0.07081126674181558,0.08502904993209992,0.09502696227995185,0.07705105201261027,0.10186178018149526,0.073765933098841,0.08994207042631144,0.08669481914518108,0.08743291935290826,0.09603363151387709,0.07247162269553609,0.12945456881374462,0.05113337750150694,0.13888402980097322,0.06398407993703971,0.10931987670315522,0.09698399720257202,0.08048129335157395,0.11266179659629168,0.07825833829213637,0.10711303371963615,0.08898957758999432,0.09419092779470488,0.10138553088120081,0.0873665949521624,0.1011336890903801,0.09127682390217141,0.09471630272895151,0.09823721037114118,0.08949438013201247,0.1007865421984662,0.0895915071757987,0.09779353246908991,0.0934107416000874,0.09392637099500498,0.09635321976831214,
90549	0.51566734711447,0.018431633904580882,-0.027111195030135163,-0.00717549861982933,0.033497176561490254,0.012578912436583663,0.06794322969703857,0.010131023231188127,0.05222252273552312,0.1446005984971645,0.04565827513493986,0.06407977718997043,0.1083419307627719,0.08730729990331423,0.07330857636198206,0.07428111040080253,0.103594674300518,0.07636326018766228,0.07172114327297642,0.1148602838671544,0.06276577447017188,0.10487287996036412,0.0770571653004048,0.08974253574795665,0.11027939701788235,0.045741350344332014,0.14321953798849313,0.04461842046396724,0.10963397579654964,0.09241217380526255,0.06933615253714923,0.11486118041548912,0.07049646008367269,0.10177069842643766,0.08919634776878975,0.08568296322909967,0.10344458933668722,0.08058468336677399,0.10314082381402348,0.08377248112370518,0.10174893474121591,0.08003200443106667,0.10941539345495374,0.07002426553054246,0.11455747935020295,0.06773071338722426,0.11105828683762116,0.07202059171963904,0.10774592711828482,0.07556181793924183,
