UserId,Simscore
42273,0.9778272533
42577,0.9482446735
42779,0.8102090827
43130,0.8995694349
43256,0.940770158
43450,0.9711358315
43606,0.9641954425
43831,0.9419796175
43853,0.9561411171
43966,0.9492691195
44038,0.9600327371
44363,0.9233744677
44447,0.9176337887
44454,0.9023599758
44807,0.9219664992
45101,0.9687037064
45259,0.9925035976
45999,0.9358205409
46629,0.9748955354
47230,0.9429730481
47701,0.9804925066
47944,0.9097727233
47993,0.9530027223
48351,0.8552278151
48934,0.8244145096
49212,0.9341319151
49796,0.936481835
50330,0.9453235966
51444,0.9699401176
51875,0.954773493
51890,0.9028101792
51939,0.9118554207
51966,0.909641024
51982,0.8781432476
52146,0.9017331389
53023,0.9144216162
53834,0.9681964179
54018,0.8887204028
54441,0.9769559527
54449,0.7828964715
54466,0.9039561298
55448,0.9667348185
55701,0.8107923668
55768,0.9206345066
55951,0.9240092281
56103,0.9315044501
56116,0.9582990934
56291,0.9383054231
56427,0.9455847806
56478,0.9242482248
57041,0.8050258712
57172,0.8909001728
57728,0.9446811909
57787,0.8061730581
59199,0.9528300136
59219,0.9409882931
59880,0.8817683965
60239,0.9564335741
60286,0.9580671108
68688,0.9269929303
70213,0.8800718215
71087,0.9180413617
71326,0.9690564894
71528,0.9679620145
71548,0.8124623499
72107,0.9328772085
72369,0.9255483768
72987,0.880419226
72995,0.9824446651
72998,0.946075919
73672,0.9873433678
74440,0.9337509065
74514,0.9455308797
74627,0.9696428675
74754,0.8471608153
75465,0.7848131846
82118,0.9448959046
82254,0.8464385274
82270,0.9130625221
82393,0.8967975651
82708,0.9410450524
83092,0.9677771107
83446,0.9481828949
83812,0.9298560957
83837,0.8451746136
83868,0.9424477086
84251,0.9281318549
84322,0.898014364
84698,0.9821985291
85868,0.8729361732
86555,0.9443468059
86672,0.9875512477
87745,0.9154972621
87796,0.8759107543
88157,0.9593326941
88378,0.9723199685
88433,0.9278251378
88504,0.9468373277
88589,0.9448440783
88596,0.9558668702
90270,0.9490338847
90504,0.9460243299
90514,0.9742107502
92393,0.9829328701
92716,0.9380535429
93117,0.9732558077
93210,0.9413861643
93404,0.965172321
94421,0.8175841187
94711,0.9238193953
94822,0.9241170639
94901,0.9490051719
95185,0.9253525904
95471,0.9396135754
95527,0.9080446323
95806,0.7559454121
95909,0.7901257724
96207,0.8862508806
96295,0.9636821908
96452,0.9042821698
97151,0.852564458
97237,0.8974991054
97404,0.931388906
97809,0.9183186155
98426,0.97245866
98635,0.9387930037
98663,0.963809211
99373,0.9199704128
100121,0.9801065194
100489,0.8577294666
100901,0.8622338581
101059,0.9594587325
101241,0.8329276249
101389,0.8224067584
102595,0.9601865399
102850,0.8998386354
102899,0.8867122204
103041,0.9276813088
103481,0.9417373093
103537,0.8712094632
103755,0.8061364696
103798,0.9266736731
103875,0.9555240471
104351,0.9694748941
104593,0.9355497792
104863,0.9789276586
105068,0.9357792976
105144,0.9625042577
105506,0.969798101
105600,0.8118196149
106002,0.9462996594
106469,0.912657053
106490,0.9111933919
107003,0.5051471139
107167,0.9580643785
107394,0.922502643
107534,0.8528467136
108020,0.9491817295
108555,0.9600425888
109018,0.9578991086
109058,0.8978533188
109444,0.9647182689
109532,0.9873681062
109770,0.9749762354
109906,0.9306319601
109999,0.9235800996
110074,0.8761900182
110121,0.9751647759
110261,0.8320679226
110431,0.8117137838
110949,0.9544000821
111302,0.9343263127
111379,0.6234005964
111600,0.4588896143
