UserId,Overlap
42273,20
42577,19
42779,15
43130,17
43256,17
43450,20
43606,17
43831,18
43853,19
43966,15
44038,18
44363,15
44447,15
44454,17
44807,18
45101,19
45259,17
45999,14
46629,19
47230,19
47701,17
47944,19
47993,18
48351,13
48934,18
49212,17
49796,17
50330,18
51444,19
51875,14
51890,13
51939,8
51966,12
51982,20
52146,17
53023,7
53834,17
54018,20
54441,16
54449,17
54466,20
55448,17
55701,17
55768,15
55951,18
56103,19
56116,18
56291,13
56427,14
56478,17
57041,18
57172,16
57728,12
57787,19
59199,18
59219,19
59880,18
60239,19
60286,19
68688,18
70213,8
71087,19
71326,17
71528,19
71548,19
72107,19
72369,19
72987,19
72995,19
72998,19
73672,20
74440,16
74514,19
74627,17
74754,18
75465,20
82118,16
82254,16
82270,17
82393,20
82708,8
83092,18
83446,16
83812,19
83837,16
83868,20
84251,18
84322,16
84698,19
85868,14
86555,17
86672,20
87745,13
87796,17
88157,20
88378,19
88433,19
88504,19
88589,16
88596,17
90270,17
90504,17
90514,19
92393,15
92716,17
93117,19
93210,20
93404,20
94421,17
94711,20
94822,18
94901,19
95185,14
95471,9
95527,20
95806,15
95909,18
96207,15
96295,18
96452,14
97151,17
97237,15
97404,18
97809,18
98426,16
98635,20
98663,17
99373,18
100121,19
100489,17
100901,18
101059,19
101241,17
101389,16
102595,15
102850,20
102899,19
103041,15
103481,20
103537,20
103755,14
103798,19
103875,20
104351,18
104593,19
104863,16
105068,19
105144,17
105506,20
105600,16
106002,19
106469,13
106490,19
107003,18
107167,19
107394,17
107534,16
108020,10
108555,19
109018,17
109058,14
109444,19
109532,16
109770,20
109906,17
109999,17
110074,18
110121,19
110261,20
110431,15
110949,19
111302,16
111379,14
111600,17
111801,19
111993,7
112401,16
113140,19
113154,19
113781,17
113920,12
113956,19
113999,18
114506,19
114563,16
114589,13
115080,19
115427,19
115433,19
116007,20
116089,17
116113,17
116720,18
117019,19
117184,18
117572,20
117924,19
117940,16
118217,20
118319,20
118333,15
118790,15
118838,17
118858,20
118993,19
119060,17
119073,15
119115,20
120104,17
120189,20
120406,17
120499,16
120915,18
121432,13
121436,17
121439,20
122505,19
122733,13
122790,16
123430,11
123510,14
123652,12
124269,17
124351,20
124887,18
124918,16
125343,19
125436,19
125968,17
126167,16
126560,18
126603,17
127073,20
127680,17
128042,19
128178,19
128385,20
128412,20
128687,19
128704,20
128959,18
128983,17
129185,18
129347,20
130390,19
130643,19
130756,7
130905,20
131049,18
131230,14
131245,15
131547,20
131943,8
132174,14
132312,17
132570,20
133163,19
133219,20
133324,20
133452,17
133934,19
134193,19
134748,18
135640,16
135643,19
135679,19
135835,19
135862,18
136639,16
136974,19
137919,19
