UserId,Overlap
42273,18
42577,16
42779,16
43130,17
43256,18
43450,17
43606,15
43831,14
43853,17
43966,17
44038,17
44363,16
44447,17
44454,19
44807,16
45101,18
45259,17
45999,16
46629,18
47230,18
47701,17
47944,16
47993,17
48351,13
48934,16
49212,17
49796,10
50330,15
51444,20
51875,19
51890,13
51939,19
51966,20
51982,16
52146,13
53023,9
53834,20
54018,19
54441,17
54449,8
54466,16
55448,17
55701,9
55768,14
55951,10
56103,17
56116,11
56291,16
56427,16
56478,18
57041,7
57172,18
57728,10
57787,12
59199,16
59219,18
59880,17
60239,18
60286,15
68688,17
70213,16
71087,19
71326,14
71528,20
71548,19
72107,15
72369,10
72987,4
72995,20
72998,10
73672,12
74440,19
74514,19
74627,17
74754,13
75465,16
82118,15
82254,19
82270,17
82393,16
82708,8
83092,17
83446,16
83812,16
83837,19
83868,20
84251,17
84322,19
84698,17
85868,11
86555,10
86672,16
87745,16
87796,18
88157,15
88378,20
88433,19
88504,19
88589,17
88596,19
90270,18
90504,15
90514,20
92393,18
92716,16
93117,17
93210,16
93404,17
94421,8
94711,10
94822,11
94901,14
95185,11
95471,15
95527,17
95806,13
95909,11
96207,15
96295,18
96452,9
97151,17
97237,16
97404,8
97809,15
98426,10
98635,18
98663,19
99373,15
100121,19
100489,13
100901,18
101059,11
101241,17
101389,17
102595,18
102850,13
102899,14
103041,13
103481,16
103537,14
103755,11
103798,14
103875,16
104351,6
104593,20
104863,18
105068,14
105144,15
105506,6
105600,17
106002,20
106469,15
106490,16
107003,20
107167,12
107394,15
107534,19
108020,13
108555,17
109018,16
109058,9
109444,19
109532,17
109770,11
109906,19
109999,16
110074,20
110121,16
110261,18
110431,6
110949,16
111302,16
111379,7
111600,18
111801,13
111993,14
112401,19
113140,17
113154,19
113781,14
113920,19
113956,20
113999,14
114506,18
114563,19
114589,15
115080,15
115427,17
115433,16
116007,9
116089,9
116113,15
116720,18
117019,9
117184,13
117572,19
117924,20
117940,15
118217,17
118319,20
118333,15
118790,15
118838,16
118858,10
118993,20
119060,16
119073,16
119115,13
120104,17
120189,15
120406,17
120499,4
120915,12
121432,16
121436,6
121439,16
122505,19
122733,19
122790,17
123430,17
123510,9
123652,15
124269,17
124351,15
124887,9
124918,16
125343,16
125436,17
125968,15
126167,16
126560,18
126603,8
127073,11
127680,16
128042,15
128178,14
128385,8
128412,17
128687,9
128704,17
128959,11
128983,8
129185,15
129347,19
130390,13
130643,16
130756,18
130905,16
131049,16
131230,13
131245,15
131547,13
131943,13
132174,10
132312,18
132570,15
133163,16
133219,17
133324,16
133452,17
133934,19
134193,12
134748,14
135640,14
135643,17
135679,18
135835,13
135862,16
136639,16
136974,19
137919,17
138146,16
138158,18
138194,19
138329,16
138353,15
138402,18
138599,8
138612,12
138736,19
138763,14
138978,19
139056,10
139105,15
139174,19
139261,16
139582,18
139595,19
139706,12
140389,20
140406,17
140465,19
141036,17
141048,13
141189,20
141507,17
141636,19
141774,19
141897,16
142405,16
142451,19
142460,13
142519,20
142825,17
142835,9
142851,14
143133,13
143140,20
143479,14
143535,13
143561,9
144441,13
144467,13
144494,18
145032,17
145118,16
145561,16
145774,10
145861,11
145925,15
145995,14
146906,17
146916,17
147096,13
147278,13
147314,19
147369,16
147483,12
147501,19
147607,16
147620,11
147888,17
147955,16
148235,15
148507,18
148583,15
148597,19
148713,18
149379,19
149505,17
149801,16
150224,19
150510,15
150565,10
150802,15
151197,17
151401,9
151434,19
