



User and percentage overlap in top-20 recommendations 
1048202	48202	0
1053357	53357	0
1056752	56752	1
1058903	58903	0
1071493	71493	0
1072921	72921	0
1083332	83332	0
1087356	87356	0
1109421	109421	1
1116903	116903	0
1118590	118590	0
1119707	119707	0
1122190	122190	0
1123234	123234	0
1124420	124420	0
1127345	127345	0
1128785	128785	1
1129207	129207	0
1130004	130004	1
1134679	134679	0
1135175	135175	1
1141225	141225	0
1142439	142439	1
1143013	143013	0
1143246	143246	1
1144095	144095	1
1146170	146170	0
1146181	146181	1
1147057	147057	0
1147249	147249	0
1152144	152144	1
1153736	153736	1
1155009	155009	1
1159445	159445	1
1160393	160393	1
1162043	162043	1
1164818	164818	1
1166174	166174	1
1168441	168441	0
1177022	177022	0
1185759	185759	0
1188242	188242	1
1192430	192430	1
1192964	192964	0
1195928	195928	0
1202307	202307	1
1205987	205987	1
1207197	207197	1
1207282	207282	0
1208533	208533	1
1210924	210924	1
1212357	212357	1
1212794	212794	1
1214919	214919	0
1215177	215177	0
1215678	215678	1
1216092	216092	1
1216511	216511	0
1216699	216699	1
1218404	218404	0
1221032	221032	0
1231290	231290	1
1233187	233187	1
1235390	235390	0
1236772	236772	0
1236804	236804	1
1242831	242831	1
1243984	243984	1
1245257	245257	0
1249423	249423	1
1251972	251972	0
1255169	255169	0
1256490	256490	0
1257035	257035	1
1258607	258607	0
1258891	258891	1
1262618	262618	1
1267433	267433	0
1268031	268031	1
1268451	268451	1
1270066	270066	1
1270534	270534	1
1271567	271567	0
1272799	272799	1
1275869	275869	1
1276205	276205	0
1276421	276421	0
1281365	281365	1
1283809	283809	1
1287620	287620	1
1295586	295586	1
1298353	298353	0
1303301	303301	0
1304833	304833	0
1305504	305504	1
1307211	307211	1
1310012	310012	1
1312141	312141	0
1317776	317776	1




User and percentage overlap in top-20 recommendations 
1048202	48202	16
1053357	53357	18
1056752	56752	20
1058903	58903	17
1071493	71493	18
1072921	72921	19
1083332	83332	12
1087356	87356	12
1109421	109421	19
1116903	116903	11
1118590	118590	13
1119707	119707	19
1122190	122190	14
1123234	123234	10
1124420	124420	11
1127345	127345	20
1128785	128785	20
1129207	129207	19
1130004	130004	20
1134679	134679	5
1135175	135175	20
1141225	141225	18
1142439	142439	20
1143013	143013	8
1143246	143246	20
1144095	144095	20
1146170	146170	20
1146181	146181	20
1147057	147057	18
1147249	147249	18
1152144	152144	20
1153736	153736	20
1155009	155009	19
1159445	159445	19
1160393	160393	20
1162043	162043	20
1164818	164818	20
1166174	166174	20
1168441	168441	18
1177022	177022	20
1185759	185759	17
1188242	188242	20
1192430	192430	20
1192964	192964	20
1195928	195928	18
1202307	202307	20
1205987	205987	20
1207197	207197	20
1207282	207282	18
1208533	208533	19
1210924	210924	20
1212357	212357	20
1212794	212794	18
1214919	214919	17
1215177	215177	20
1215678	215678	20
1216092	216092	20
1216511	216511	16
1216699	216699	20
1218404	218404	19
1221032	221032	16
1231290	231290	20
1233187	233187	20
1235390	235390	18
1236772	236772	16
1236804	236804	20
1242831	242831	20
1243984	243984	20
1245257	245257	20
1249423	249423	20
1251972	251972	19
1255169	255169	20
1256490	256490	18
1257035	257035	20
1258607	258607	15
1258891	258891	20
1262618	262618	19
1267433	267433	19
1268031	268031	20
1268451	268451	20
1270066	270066	20
1270534	270534	20
1271567	271567	19
1272799	272799	20
1275869	275869	20
1276205	276205	19
1276421	276421	19
1281365	281365	20
1283809	283809	18
1287620	287620	20
1295586	295586	18
1298353	298353	16
1303301	303301	20
1304833	304833	19
1305504	305504	20
1307211	307211	20
1310012	310012	19
1312141	312141	20
1317776	317776	20




User and percentage overlap in top-20 recommendations 
1048202	48202	16
user - stumpuser 
133837 , 123091 , 161936 , 160533 , 
1053357	53357	19
user - stumpuser 
104085 , 
1056752	56752	20
user - stumpuser 

1058903	58903	17
user - stumpuser 
107477 , 134427 , 119615 , 
1071493	71493	19
user - stumpuser 
118995 , 
1072921	72921	19
user - stumpuser 
160533 , 
1083332	83332	13
user - stumpuser 
131140 , 139048 , 133837 , 123091 , 161936 , 160533 , 159259 , 
1087356	87356	12
user - stumpuser 
178947 , 178951 , 178955 , 178959 , 178957 , 123091 , 104085 , 105144 , 
1109421	109421	20
user - stumpuser 

1116903	116903	11
user - stumpuser 
116002 , 180161 , 26153 , 135055 , 73868 , 1360 , 149586 , 173299 , 130332 , 
1118590	118590	13
user - stumpuser 
